454774 -0.33 0.762 0.0597 0.0087 0.254 0.0622 0.0208 0.529 
454777 -0.31 0.841 0.0595 0.0087 0.256 0.0620 0.0256 0.638 
454778 -0.32 0.765 0.0591 0.0082 0.243 0.0626 0.0208 0.529 
454782 -0.30 0.757 0.0589 0.0080 0.238 0.0645 0.0205 0.526 
454783 -0.30 0.789 0.0592 0.0083 0.245 0.0623 0.0215 0.546 
454784 -0.34 1.000 0.0651 0.0157 0.418 0.0644 0.1000 1.000 
454785 -0.31 0.896 0.0595 0.0083 0.246 0.0627 0.0229 0.577 
454786 -0.24 1.000 0.0613 0.0101 0.288 0.0714 0.0551 1.000 
454789 -0.30 1.000 0.0611 0.0093 0.270 0.0677 0.0612 1.000 
454794 -0.36 1.000 0.0627 0.0110 0.309 0.0414 0.0504 1.000 
454797 -0.36 0.696 0.0598 0.0085 0.250 0.0644 0.0217 0.551 
454798 -0.32 0.832 0.0617 0.0092 0.268 0.0599 0.0230 0.577 
454799 -0.32 0.684 0.0598 0.0081 0.243 0.0641 0.0210 0.535 
454800 -0.32 0.725 0.0598 0.0083 0.246 0.0633 0.0205 0.524 
454802 -0.34 0.716 0.0601 0.0083 0.247 0.0641 0.0209 0.533 
454808 -0.33 0.687 0.0598 0.0082 0.243 0.0640 0.0210 0.535 
454809 -0.34 0.682 0.0596 0.0080 0.240 0.0638 0.0214 0.543 
454810 -0.31 0.690 0.0590 0.0080 0.238 0.0653 0.0206 0.529 
454811 -0.33 0.715 0.0590 0.0081 0.241 0.0638 0.0207 0.529 
454933 -0.34 0.916 0.0618 0.0093 0.272 0.0672 0.0302 0.746 
454934 -0.36 0.656 0.0609 0.0089 0.260 0.0662 0.0237 0.598 
454935 -0.33 0.708 0.0604 0.0084 0.249 0.0649 0.0221 0.562 
454936 -0.35 0.668 0.0601 0.0084 0.248 0.0654 0.0220 0.560 
454937 -0.36 0.731 0.0600 0.0083 0.247 0.0645 0.0218 0.554 
454943 -0.30 0.746 0.0615 0.0091 0.265 0.0638 0.0217 0.550 
454944 -0.34 0.679 0.0604 0.0084 0.250 0.0660 0.0220 0.559 
454945 -0.34 0.690 0.0602 0.0084 0.250 0.0631 0.0215 0.546 
454946 -0.33 0.696 0.0601 0.0084 0.248 0.0651 0.0213 0.543 
454947 -0.34 0.706 0.0599 0.0083 0.245 0.0638 0.0212 0.541 
454948 -0.27 0.800 0.0598 0.0083 0.246 0.0641 0.0219 0.555 
